date,low,imf0,imf1,imf2,imf3,imf4,imf5,imf6,imf7,imf8
2002-06-03,1480.085,3.776851673820343,-44.27972710886202,34.364483385913644,-64.93244439568126,-41.559713552285764,-56.40029256883933,25.0545272697455,-712.0966303441812,2339.42094564037
2002-06-04,1474.3629999999998,20.71755229532261,-50.54732135712687,42.514968015984174,-72.78856113907274,-45.11241735859575,-56.592148532388386,25.441127239284874,-712.4437103286745,2339.3245111652664
2002-06-05,1460.481,-19.973781753000132,-32.9116015001746,46.2772332906033,-79.37409626456035,-47.75180264200003,-56.50474284360522,25.8049861151341,-712.7944680489923,2339.228273646595
2002-06-06,1455.305,17.24963475030513,-3.8443691197080763,45.56185243016335,-84.3215547944478,-49.384281165796246,-56.12777845970766,26.146158085253646,-713.1488949278007,2339.1322332017385
2002-06-07,1508.43,3.692234663984025,26.058993253550618,40.423000903599345,-87.29411068785369,-49.91488560673501,-55.45243145997041,26.464791373113435,-713.5069823877668,2339.0363899480785
2002-06-10,1511.257,-12.049834909922401,38.070862343575726,31.172502999478645,-88.06361497660518,-49.25457390413396,-54.47840886693613,26.761045163101418,-713.8687218515564,2338.940744002998
2002-06-11,1515.746,5.2181285585820705,42.44617167649381,18.718181596662916,-86.46000668358126,-47.38693319548924,-53.21881133431741,27.035078639606745,-714.2341047418361,2338.8452954838785
2002-06-12,1513.9189999999999,4.264247906386342,43.47729499518583,3.9922383089858355,-82.21605144662581,-44.419959625797176,-51.68974315198103,27.287050987015373,-714.6031224812725,2338.750044508103
2002-06-13,1511.219,-0.42699853981203645,37.76737450112276,-11.392249198114637,-75.0362730539017,-40.489891189737165,-49.90730860979615,27.517121389717452,-714.9757664925315,2338.654991193053
2002-06-14,1493.244,-15.482092264394941,32.679724479020074,-25.519682805172028,-64.74492801976517,-35.73296588198861,-47.887611997630145,27.725449032099334,-715.3520281982794,2338.560135656111
2002-06-17,1481.246,-4.635787283139641,13.374375574917682,-35.54412357719157,-51.666057504030476,-30.285421697231506,-45.64675760535021,27.912193098549974,-715.7318990211836,2338.4654780146598
2002-06-18,1496.81,26.665723893224726,-9.856199213496017,-39.25284472463334,-36.33549437775281,-24.283496630145045,-43.20084972282529,28.077512773456924,-716.1153703839087,2338.3710183860794
